충전소명,start,end,기간(일수),총이용수,총충전량,일평균충전,일평균이용,구분,수량(급속),수량(완속),lat,lon,gid
LH호평1단지,2018-03-22 22:34,2018-08-24 12:27,155,46,94.030000000000001,0.610000000000000,0.300000000000000,아파트,1,3,37.661923999999999,127.240240000000000,다사77aa62ba
경복대학교 남양주캠퍼스,2018-04-16 14:48,2018-07-23 8:52,98,7,75.030000000000001,0.770000000000000,0.070000000000000,공공건물,0,3,37.734501999999999,127.211439999999996,다사74ba70ba
남양주 시청,2017-08-02 7:26,2018-08-01 0:20,364,1685,22111.549999999999272,60.750000000000000,4.630000000000000,공공건물,1,0,37.635749500000003,127.216369900000004,다사74bb59ba
남양주시 오남읍사무소,2018-05-14 15:03,2018-06-24 13:41,41,47,754.299999999999955,18.399999999999999,1.150000000000000,공공건물,1,0,37.698822000000000,127.204697999999993,다사73bb66ba
남양주시 오남체육문화센터,2018-04-19 17:10,2018-05-11 9:38,22,29,280.081999999999994,12.730000000000000,1.320000000000000,공공건물,1,1,37.684524000000003,127.209750999999997,다사74ab65aa
남양주시 이마트(남양주점),2017-08-01 9:42,2018-07-31 11:48,365,184,1180.089999999999918,3.230000000000000,0.500000000000000,마트,0,1,37.654785510000004,127.242909400000002,다사77ab61ba
남양주시 이마트(도농점),2017-08-08 9:38,2018-07-27 11:59,354,26,120.090000000000003,0.340000000000000,0.070000000000000,마트,0,1,37.608204209999997,127.157752700000003,다사69bb56ba
남양주시 이마트(별내점),2017-08-07 21:01,2018-07-29 20:32,356,53,331.740000000000009,0.930000000000000,0.150000000000000,마트,0,1,37.642811459999997,127.125968799999995,다사67aa60ab
남양주시 조안면사무소,2018-03-29 16:42,2018-04-17 17:51,20,10,83.010000000000005,4.150000000000000,0.500000000000000,공공건물,1,0,37.535829000000000,127.303381000000002,다사82ba48ba
남양주시 진건퇴계원행정복지센터,2018-06-27 13:41,2018-07-30 17:26,34,38,553.587999999999965,16.280000000000001,1.120000000000000,공공건물,1,0,37.654578999999998,127.177698000000007,다사71ba61ba
남양주시 진접오남행정복지센터,2018-03-29 15:35,2018-07-30 18:12,124,125,1308.357999999999947,10.550000000000001,1.010000000000000,공공건물,1,1,37.726087000000000,127.189755000000005,다사72ba69ba
남양주체육문화센터,2017-09-29 13:13,2018-07-31 21:30,306,134,2230.190000000000055,7.290000000000000,0.440000000000000,공공건물,2,1,37.606679999999997,127.175196000000000,다사71ab56ab
뉴욕에너지,2018-01-11 9:15,2018-07-28 22:14,199,285,4976.939999999999600,25.010000000000002,1.430000000000000,주유소,2,0,37.625404500000002,127.189466699999997,다사72ba58ab
덕소건영 아파트,2017-12-22 12:15,2018-08-29 14:35,251,74,410.930000000000007,1.640000000000000,0.290000000000000,아파트,1,3,37.575727999999998,127.222930000000005,다사75ba52bb
덕소두산위브 아파트,2018-01-05 15:12,2018-09-01 4:21,239,128,1594.599999999999909,6.670000000000000,0.540000000000000,아파트,1,4,37.578767999999997,127.213920000000002,다사74ba53ab
덕소쌍용아파트,2018-03-28 11:11,2018-08-29 14:07,155,43,74.269999999999996,0.480000000000000,0.280000000000000,아파트,1,3,37.578704999999999,127.218919999999997,다사75aa53ab
덕소아이파크 아파트,2017-12-15 9:11,2018-08-30 13:30,259,125,1175.019999999999982,4.540000000000000,0.480000000000000,아파트,1,1,37.587432000000000,127.221080000000001,다사75ab54ab
롯데마트 덕소점,2018-03-22 9:59,2018-07-30 21:31,131,295,4465.010000000000218,34.079999999999998,2.250000000000000,마트,1,0,37.584697499999997,127.214026200000006,다사74bb53bb
롯데마트 마석점,2016-08-01 9:37,2018-08-01 0:08,730,1981,27621.509999999998399,37.840000000000003,2.710000000000000,마트,1,0,37.650225900000002,127.309442500000003,다사83aa61aa
마석역신도브래뉴 아파트,2017-10-26 0:21,2018-09-01 2:24,311,254,3290.590000000000146,10.580000000000000,0.820000000000000,아파트,1,2,37.661192999999997,127.304550000000006,다사82bb62ab
모아미래도 아파트,,,,,,,,아파트,1,0,37.661669000000003,127.126790000000000,다사67aa62ba
별내 동익미라벨38단지아파트,2018-02-27 5:08,2018-08-27 12:49,182,54,513.879999999999995,2.820000000000000,0.300000000000000,아파트,1,0,37.649884000000000,127.120149999999995,다사66ab61aa
별내동주민센터,2016-08-01 19:38,2018-07-30 13:36,728,1924,23846.139999999999418,32.759999999999998,2.640000000000000,공공건물,1,0,37.646047400000000,127.122202400000006,다사66ba60bb
별내리슈빌아파트,2018-02-07 21:04,2018-09-01 4:23,206,355,4708.850000000000364,22.859999999999999,1.720000000000000,아파트,1,2,37.658045999999999,127.121099999999998,다사66ba62aa
별내면사무소,2018-01-01 0:00,2018-07-31 23:59,211,20,400.000000000000000,1.900000000000000,0.090000000000000,공공건물,1,0,37.702559000000001,127.124724999999998,다사66bb67aa
별내신안인스빌아파트,2018-03-22 22:07,2018-08-29 19:54,160,75,756.779999999999973,4.730000000000000,0.470000000000000,아파트,1,3,37.648265000000002,127.113640000000004,다사65bb61aa
별내아이파크1차,2017-12-08 20:00,2018-08-27 10:16,262,60,823.009999999999991,3.140000000000000,0.230000000000000,아파트,1,2,37.663214000000004,127.117909999999995,다사66ab62ba
별내우미린아파트,2018-03-12 17:51,2018-08-29 1:10,170,87,986.820000000000050,5.800000000000000,0.510000000000000,아파트,1,2,37.644052000000002,127.118099999999998,다사66ab60ba
별내하우스토리,2018-02-24 13:05,2018-08-29 2:27,186,74,1028.309999999999945,5.530000000000000,0.400000000000000,아파트,1,3,37.670219000000003,127.132563000000005,다사67ba63ab
별빛마을3-5단지,2018-02-05 9:46,2018-08-31 18:36,208,73,527.049999999999955,2.530000000000000,0.350000000000000,아파트,1,3,37.647630999999997,127.117379999999997,다사66aa60bb
별사랑마을2-2단지,2018-06-22 10:22,2018-08-29 11:19,69,47,207.139999999999986,3.000000000000000,0.680000000000000,아파트,1,3,37.660511000000000,127.124740000000003,다사66bb62ab
부영2단지 아파트,2017-07-04 11:39,2018-09-01 0:29,424,671,10710.239999999999782,25.260000000000002,1.580000000000000,아파트,1,4,37.613123999999999,127.158799999999999,다사69bb57aa
부영그린타운3단지,2017-12-29 16:34,2018-08-29 10:31,243,68,111.569999999999993,0.460000000000000,0.280000000000000,아파트,1,4,37.611961000000001,127.162850000000006,다사70aa57aa
부영그린타운4단지,2018-02-23 15:10,2018-08-29 11:56,187,50,17.070000000000000,0.090000000000000,0.270000000000000,아파트,1,3,37.611020000000003,127.156220000000005,다사69ba56bb
부영그린타운5단지,2018-02-23 16:26,2018-08-31 21:39,190,141,1409.460000000000036,7.420000000000000,0.740000000000000,아파트,1,4,37.611020000000003,127.156220000000005,다사69ba56bb
